id,release_date,movie,production_budget,domestic_gross,worldwide_gross,tconst,primary_title,original_title,start_year,runtime_minutes,genres,revenue-domestic,revenue-worldwide,lost_money,roi-domestic,roi-worldwide,release_month
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,tt1298650,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,2011,136.0,"Action,Adventure,Fantasy",-169536125.0,635063875.0,True,-41.28985021919143,154.6672856794934,5
3,2019-06-07,Dark Phoenix,350000000.0,42762350.0,149762350.0,tt6565702,Dark Phoenix,Dark Phoenix,2019,113.0,"Action,Adventure,Sci-Fi",-307237650.0,-200237650.0,True,-87.7821857142857,-57.21075714285714,6
4,2015-05-01,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,tt2395427,Avengers: Age of Ultron,Avengers: Age of Ultron,2015,141.0,"Action,Adventure,Sci-Fi",128405868.0,1072413963.0,False,38.84025045372051,324.38413883847545,5
7,2018-04-27,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,tt4154756,Avengers: Infinity War,Avengers: Infinity War,2018,149.0,"Action,Adventure,Sci-Fi",378815482.0,1748134200.0,False,126.27182733333333,582.7114,4
9,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,tt0974015,Justice League,Justice League,2017,120.0,"Action,Adventure,Fantasy",-70975705.0,355945209.0,True,-23.65856833333333,118.64840299999999,11
10,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,tt2379713,Spectre,Spectre,2015,148.0,"Action,Adventure,Thriller",-99925825.0,579620923.0,True,-33.30860833333333,193.20697433333333,11
11,2012-07-20,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,tt1345836,The Dark Knight Rises,The Dark Knight Rises,2012,164.0,"Action,Thriller",173139099.0,809439099.0,False,62.959672363636365,294.3414905454545,7
12,2018-05-25,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,tt3778644,Solo: A Star Wars Story,Solo: A Star Wars Story,2018,135.0,"Action,Adventure,Fantasy",-61232488.0,118151347.0,True,-22.266359272727275,42.96412618181818,5
13,2013-07-02,The Lone Ranger,275000000.0,89302115.0,260002115.0,tt1210819,The Lone Ranger,The Lone Ranger,2013,150.0,"Action,Adventure,Western",-185697885.0,-14997885.0,True,-67.52650363636363,-5.453776363636364,7
14,2012-03-09,John Carter,275000000.0,73058679.0,282778100.0,tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",-201941321.0,7778100.0,True,-73.43320763636363,2.8284,3
15,2010-11-24,Tangled,260000000.0,200821936.0,586477240.0,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",-59178064.0,326477240.0,True,-22.760793846153845,125.56816923076923,11
17,2016-05-06,Captain America: Civil War,250000000.0,408084349.0,1140069413.0,tt3498820,Captain America: Civil War,Captain America: Civil War,2016,147.0,"Action,Adventure,Sci-Fi",158084349.0,890069413.0,False,63.23373960000001,356.0277652,5
18,2016-03-25,Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,tt2975590,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016,151.0,"Action,Adventure,Fantasy",80360194.0,617500281.0,False,32.144077599999996,247.0001124,3
19,2012-12-14,The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,tt0903624,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,2012,169.0,"Adventure,Family,Fantasy",53003568.0,767003568.0,False,21.2014272,306.80142720000003,12
21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,tt1170358,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,2013,161.0,"Adventure,Fantasy",8366855.0,710366855.0,False,3.346742,284.14674199999996,12
