,race_ethnicity,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex,age_number
0,Black,C Felony,Violent,Robbery,Parole,7JD,Yes,Yes,Male,30.0
1,White,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,No,Male,30.0
2,White,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,40.0
3,White,B Felony,Other,Other Criminal,Parole,6JD,No,Yes,Male,30.0
4,Black,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,40.0
5,White,C Felony,Drug,Trafficking,Parole,4JD,No,Yes,Male,30.0
6,White,C Felony,Drug,Trafficking,Parole,4JD,No,Yes,Male,30.0
7,Black,D Felony,Public Order,OWI,Parole,6JD,Yes,Yes,Male,40.0
8,White,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,No,Yes,Male,30.0
9,Black,C Felony,Violent,Other Violent,Parole,1JD,Yes,Yes,Male,30.0
10,White,C Felony,Drug,Trafficking,Parole,3JD,Yes,Yes,Male,30.0
11,White,C Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Male,30.0
12,Black,D Felony,Drug,Drug Possession,Parole,8JD,Yes,Yes,Male,40.0
13,White,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Male,50.0
14,White,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Male,50.0
15,Black,C Felony,Property,Burglary,Parole,1JD,No,Yes,Male,20.0
16,White,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,No,Male,20.0
17,White,D Felony,Property,Theft,Parole,7JD,Yes,Yes,Female,40.0
18,Black,C Felony,Violent,Sex,Discharged – End of Sentence,,No,No,Female,30.0
19,Black,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,30.0
20,Black,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,30.0
21,White,D Felony,Violent,Assault,Parole,6JD,No,Yes,Male,40.0
22,White,D Felony,Violent,Assault,Parole,6JD,No,Yes,Male,40.0
23,Black,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,20.0
24,Black,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,20.0
25,Black,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,20.0
26,Black,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,20.0
27,White,D Felony,Drug,Trafficking,Parole,6JD,Yes,Yes,Male,20.0
28,Black,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,1JD,No,Yes,Female,20.0
29,White,Aggravated Misdemeanor,Property,Theft,Parole,2JD,No,Yes,Male,50.0
30,American Native,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male,30.0
31,White,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,30.0
32,White,Felony - Enhanced,Property,Theft,Parole,8JD,Yes,Yes,Male,30.0
33,White,D Felony,Property,Theft,Parole,5JD,Yes,Yes,Male,20.0
34,Hispanic,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
35,Hispanic,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
36,Hispanic,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
37,Hispanic,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
38,Hispanic,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
39,Hispanic,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
40,Hispanic,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
41,Hispanic,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
42,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,30.0
43,Black,C Felony,Property,Burglary,Parole,7JD,Yes,Yes,Male,30.0
44,Black,D Felony,Property,Burglary,Parole,6JD,No,Yes,Male,40.0
45,White,C Felony,Property,Theft,Parole,1JD,No,Yes,Male,70.0
46,White,D Felony,Public Order,Traffic,Parole,8JD,No,Yes,Male,30.0
47,Black,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male,70.0
48,White,D Felony,Drug,Trafficking,Parole,4JD,Yes,Yes,Male,30.0
