,yr_released,report_year,race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex
0,2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Robbery,Parole,7JD,Yes,Yes,Male
1,2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,No,Male
2,2010,2013,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
3,2010,2013,White - Non-Hispanic,25-34,B Felony,Other,Other Criminal,Parole,6JD,No,Yes,Male
4,2010,2013,Black - Non-Hispanic,35-44,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male
5,2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,4JD,No,Yes,Male
6,2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,4JD,No,Yes,Male
7,2010,2013,Black - Non-Hispanic,35-44,D Felony,Public Order,OWI,Parole,6JD,Yes,Yes,Male
8,2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,No,Yes,Male
9,2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Other Violent,Parole,1JD,Yes,Yes,Male
10,2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,3JD,Yes,Yes,Male
11,2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Male
12,2010,2013,Black - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,8JD,Yes,Yes,Male
13,2010,2013,White - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Male
14,2010,2013,White - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Male
15,2010,2013,Black - Non-Hispanic,Under 25,C Felony,Property,Burglary,Parole,1JD,No,Yes,Male
16,2010,2013,White - Non-Hispanic,Under 25,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,No,Male
17,2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,7JD,Yes,Yes,Female
18,2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,No,No,Female
19,2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
20,2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
21,2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,6JD,No,Yes,Male
22,2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,6JD,No,Yes,Male
23,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
24,2010,2013,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
