CrimeDateTime,HOMICIDE,AGG. ASSAULT,COMMON ASSAULT,LARCENY,AUTO THEFT,ROBBERY - CARJACKING,BURGLARY,LARCENY FROM AUTO,ROBBERY - COMMERCIAL,SHOOTING,ROBBERY - RESIDENCE,ROBBERY - STREET,ARSON,RAPE
2014-01-01 00:00:00+00:00,2,22,19,34,9,0.0,20,15,2,2,1.0,8.0,0.0,5.0
2014-01-02 00:00:00+00:00,3,6,23,26,7,1.0,28,10,1,0,1.0,4.0,0.0,0.0
2014-01-03 00:00:00+00:00,1,11,17,16,3,0.0,13,6,1,1,1.0,2.0,0.0,0.0
2014-01-04 00:00:00+00:00,0,14,23,23,14,0.0,20,15,1,0,1.0,7.0,0.0,0.0
2014-01-05 00:00:00+00:00,0,9,22,19,11,2.0,14,13,0,2,1.0,10.0,0.0,1.0
2014-01-06 00:00:00+00:00,2,3,23,37,5,0.0,26,11,0,0,1.0,6.0,2.0,1.0
2014-01-07 00:00:00+00:00,0,3,12,32,11,0.0,12,11,1,0,0.0,2.0,0.0,2.0
2014-01-08 00:00:00+00:00,1,9,26,23,12,1.0,24,12,0,1,1.0,6.0,0.0,0.0
2014-01-09 00:00:00+00:00,1,11,20,46,5,0.0,25,9,1,1,3.0,9.0,0.0,0.0
2014-01-10 00:00:00+00:00,3,9,27,33,9,2.0,22,24,1,0,0.0,11.0,0.0,0.0
2014-01-11 00:00:00+00:00,1,12,19,18,14,0.0,17,16,3,0,2.0,7.0,0.0,1.0
2014-01-12 00:00:00+00:00,2,13,29,17,8,0.0,13,11,2,2,2.0,4.0,0.0,1.0
2014-01-13 00:00:00+00:00,0,12,29,20,15,0.0,24,16,0,1,0.0,10.0,1.0,0.0
2014-01-14 00:00:00+00:00,0,9,18,39,11,0.0,26,19,0,1,1.0,12.0,1.0,1.0
2014-01-15 00:00:00+00:00,0,4,32,34,10,0.0,24,15,0,0,7.0,7.0,2.0,0.0
2014-01-16 00:00:00+00:00,0,9,17,37,13,0.0,24,22,3,0,3.0,9.0,2.0,0.0
2014-01-17 00:00:00+00:00,1,4,19,33,13,1.0,24,30,0,1,2.0,8.0,0.0,2.0
2014-01-18 00:00:00+00:00,1,13,9,32,5,0.0,11,16,0,1,2.0,5.0,4.0,2.0
2014-01-19 00:00:00+00:00,0,16,15,23,12,0.0,16,20,0,2,1.0,2.0,0.0,0.0
2014-01-20 00:00:00+00:00,0,8,21,29,15,0.0,19,25,1,2,1.0,4.0,0.0,2.0
2014-01-21 00:00:00+00:00,0,5,7,15,12,0.0,18,10,5,1,2.0,3.0,0.0,0.0
2014-01-22 00:00:00+00:00,0,11,12,27,15,0.0,9,17,2,1,0.0,8.0,0.0,2.0
2014-01-23 00:00:00+00:00,0,5,16,21,3,0.0,25,20,3,2,7.0,3.0,1.0,0.0
2014-01-24 00:00:00+00:00,0,8,15,33,11,1.0,14,15,3,0,7.0,8.0,1.0,0.0
2014-01-25 00:00:00+00:00,2,9,20,25,12,0.0,20,18,1,0,1.0,3.0,0.0,1.0
2014-01-26 00:00:00+00:00,0,3,21,18,20,1.0,16,19,2,0,0.0,1.0,2.0,0.0
2014-01-27 00:00:00+00:00,1,8,24,35,14,0.0,15,15,0,1,0.0,13.0,0.0,0.0
2014-01-28 00:00:00+00:00,1,6,20,20,7,1.0,19,8,2,1,3.0,6.0,0.0,1.0
2014-01-29 00:00:00+00:00,0,9,15,22,12,0.0,23,9,3,1,1.0,7.0,0.0,0.0
2014-01-30 00:00:00+00:00,4,11,21,38,11,0.0,17,21,3,2,4.0,9.0,0.0,1.0
2014-01-31 00:00:00+00:00,1,17,24,28,11,0.0,16,20,1,2,2.0,7.0,1.0,0.0
2014-02-01 00:00:00+00:00,0,7,16,42,14,0.0,17,14,2,0,1.0,7.0,0.0,1.0
2014-02-02 00:00:00+00:00,0,12,30,25,9,0.0,12,9,5,0,0.0,10.0,0.0,0.0
2014-02-03 00:00:00+00:00,0,12,21,27,4,0.0,10,13,7,1,1.0,10.0,0.0,1.0
2014-02-04 00:00:00+00:00,0,8,18,27,9,0.0,22,15,1,0,0.0,11.0,1.0,0.0
2014-02-05 00:00:00+00:00,0,5,13,27,10,0.0,17,20,0,1,0.0,5.0,0.0,1.0
2014-02-06 00:00:00+00:00,1,6,17,33,6,0.0,13,10,0,0,1.0,8.0,1.0,1.0
2014-02-07 00:00:00+00:00,0,8,19,28,17,0.0,22,13,2,2,1.0,8.0,2.0,0.0
2014-02-08 00:00:00+00:00,0,12,20,27,13,0.0,16,13,2,1,0.0,5.0,1.0,0.0
2014-02-09 00:00:00+00:00,1,11,15,16,9,2.0,11,10,0,0,0.0,3.0,0.0,0.0
2014-02-10 00:00:00+00:00,1,8,14,25,15,0.0,18,9,1,0,1.0,9.0,1.0,1.0
2014-02-11 00:00:00+00:00,2,10,17,29,10,0.0,17,13,2,0,0.0,3.0,0.0,0.0
2014-02-12 00:00:00+00:00,0,6,12,28,10,0.0,20,18,3,0,1.0,3.0,0.0,0.0
2014-02-13 00:00:00+00:00,0,8,10,11,9,0.0,1,0,0,0,2.0,3.0,1.0,1.0
2014-02-14 00:00:00+00:00,0,11,10,21,4,1.0,11,6,0,0,2.0,9.0,1.0,0.0
2014-02-15 00:00:00+00:00,0,9,25,19,5,0.0,12,20,2,0,2.0,7.0,0.0,1.0
2014-02-16 00:00:00+00:00,0,4,12,19,15,2.0,14,9,1,0,0.0,5.0,0.0,0.0
2014-02-17 00:00:00+00:00,0,4,16,27,14,1.0,14,11,0,0,0.0,3.0,0.0,1.0
2014-02-18 00:00:00+00:00,0,10,19,18,3,0.0,14,19,1,0,0.0,6.0,0.0,1.0
2014-02-19 00:00:00+00:00,0,11,19,25,7,0.0,11,14,0,0,1.0,6.0,0.0,1.0
2014-02-20 00:00:00+00:00,0,9,19,32,8,1.0,15,15,2,1,3.0,8.0,0.0,1.0
2014-02-21 00:00:00+00:00,1,14,26,34,15,0.0,16,20,2,0,0.0,9.0,1.0,0.0
2014-02-22 00:00:00+00:00,0,11,22,41,4,0.0,10,17,2,0,0.0,2.0,0.0,0.0
