,BURGLARY,COMMON ASSAULT,LARCENY,ROBBERY - STREET,AUTO THEFT,AGG. ASSAULT,LARCENY FROM AUTO,SHOOTING,ROBBERY - RESIDENCE,ROBBERY - COMMERCIAL,ARSON,HOMICIDE,ROBBERY - CARJACKING,RAPE
2014-01-01,20,19,34,8,9,22,15,2,1,2,2.0,2.0,1.0,4.0
2014-01-02,28,23,26,4,7,6,10,0,1,1,2.0,3.0,1.0,0.0
2014-01-03,13,17,16,2,3,11,6,1,1,1,2.0,1.0,0.0,0.0
2014-01-04,20,23,23,7,14,14,15,0,1,1,2.0,0.0,0.0,0.0
2014-01-05,14,22,19,10,11,9,13,2,1,0,2.0,0.0,2.0,1.0
2014-01-06,26,23,37,6,5,3,11,0,1,0,2.0,2.0,0.0,1.0
2014-01-07,12,12,32,2,11,3,11,0,0,1,0.0,0.0,0.0,2.0
2014-01-08,24,26,23,6,12,9,12,1,1,0,0.0,1.0,1.0,0.0
2014-01-09,25,20,46,9,5,11,9,1,3,1,0.0,1.0,0.0,0.0
2014-01-10,22,27,33,11,9,9,24,0,0,1,0.0,3.0,2.0,0.0
2014-01-11,17,19,18,7,14,12,16,0,2,3,0.0,1.0,0.0,1.0
2014-01-12,13,29,17,4,8,13,11,2,2,2,0.0,2.0,0.0,1.0
2014-01-13,24,29,20,10,15,12,15,1,0,0,1.0,0.0,0.0,0.0
2014-01-14,26,18,39,12,11,9,19,1,1,0,1.0,0.0,0.0,1.0
2014-01-15,24,32,34,7,10,4,15,0,7,0,2.0,0.0,0.0,0.0
2014-01-16,24,17,37,9,13,9,22,0,3,3,2.0,0.0,0.0,0.0
2014-01-17,24,19,34,8,13,4,30,1,2,0,0.0,1.0,1.0,2.0
2014-01-18,11,9,32,5,5,13,16,1,2,0,4.0,1.0,0.0,2.0
2014-01-19,16,15,23,2,12,16,20,2,1,0,0.0,0.0,0.0,0.0
2014-01-20,19,21,30,4,15,8,25,2,1,1,0.0,0.0,0.0,2.0
2014-01-21,18,7,15,3,12,5,10,1,2,5,0.0,0.0,0.0,0.0
2014-01-22,9,12,27,8,15,11,17,1,0,2,0.0,0.0,0.0,2.0
2014-01-23,25,16,21,5,3,5,20,2,7,3,1.0,0.0,0.0,0.0
2014-01-24,14,15,33,8,11,8,15,0,7,3,1.0,0.0,1.0,0.0
2014-01-25,20,20,25,3,12,9,18,0,1,1,0.0,2.0,0.0,1.0
2014-01-26,16,21,18,1,20,3,19,0,0,2,2.0,0.0,1.0,0.0
2014-01-27,15,24,35,13,14,8,16,1,0,0,0.0,1.0,0.0,0.0
2014-01-28,19,20,20,6,7,6,8,1,3,2,0.0,1.0,1.0,1.0
2014-01-29,23,15,22,7,12,9,9,1,1,3,0.0,0.0,0.0,0.0
2014-01-30,17,21,38,9,11,11,21,2,4,3,0.0,4.0,0.0,1.0
2014-01-31,16,24,28,7,11,17,20,2,2,1,1.0,1.0,0.0,0.0
2014-02-01,17,16,42,7,14,7,14,0,1,2,0.0,0.0,0.0,1.0
2014-02-02,12,30,25,10,9,12,9,0,0,5,0.0,0.0,0.0,0.0
2014-02-03,10,21,27,10,4,12,13,1,1,7,0.0,0.0,0.0,1.0
2014-02-04,22,19,27,11,9,8,15,0,0,1,1.0,0.0,0.0,0.0
