publishedAt,source,author,title,description,url,urlToImage,content,q_num
2021-06-29 06:24:56+00:00,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Neelima Choahan,GPs back AstraZeneca push but warn more work required to tackle vaccine hesitancy,GPs welcome the federal government's move to make AstraZeneca more available to all adult Australians but say a lot of work is needed to turn around entrenched attitudes about the vaccine's safety.,https://www.abc.net.au/news/2021-06-29/astrazeneca-covid-19-vaccine-gp-indemnity-changes/100252070,https://live-production.wcms.abc-cdn.net.au/d3269cff15fb4ae82fa16330185bfd91?impolicy=wcms_crop_resize&cropH=2990&cropW=5312&xPos=0&yPos=45&width=862&height=485,"Several GPs have welcomed the federal government's push to make the AstraZeneca vaccine more available to all adult Australians, but say a lot of work is needed to turn around entrenched attitudes ab… [+7284 chars]",0
2021-06-29 06:29:00+00:00,"{'id': None, 'name': 'KRGV'}",,Health official says Delta variant could be active in the Valley.,"The COVID-19 Delta variant could already be active in the Rio Grande Valley, said Hidalgo County Health Authority Dr. Ivan Melendez, citing an increase in vaccinated people ending up in the hospital.",http://www.krgv.com/news/health-official-says-delta-variant-could-be-active-in-the-valley-/,http://dcer237tfveol.cloudfront.net/v2/nrYzc6wTEO2Sl7b-MYkJuQM3BfEabWhzpGzV8cXugY-Mc20PM9YbReX3zMWqB55UYcWsofHxvxy_IL1sL4CAKWTkvkfZJtL_awyvw1K-Fnng75bNUJJIH5-vPGvGSAGfgwbR58ByH3SFcOA6w_OmUp,"The COVID-19 Delta variant could already be active in the Rio Grande Valley, said Hidalgo County Health Authority Dr. Ivan Melendez, citing an increase in vaccinated people ending up in the hospital.… [+747 chars]",0
2021-06-29 06:34:05+00:00,"{'id': 'bloomberg', 'name': 'Bloomberg'}",Abbas Al Lawati,"U.S. Warns Against Travel to UAE, Citing High Virus Cases","The U.S. on Monday raised its travel warning for the United Arab Emirates to its highest level, citing a “very high level” of coronavirus in the Gulf nation.",https://www.bloomberg.com/news/articles/2021-06-29/u-s-warns-against-travel-to-uae-citing-high-virus-cases,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iGye_WpWPvKQ/v1/1200x784.jpg,"The U.S. on Monday raised its travel warning for the United Arab Emirates to its highest level, citing a very high level of coronavirus in the Gulf nation. 
While the UAE has one of the worlds faste… [+1123 chars]",0
2021-06-29 07:09:08+00:00,"{'id': None, 'name': 'Daily Mail'}","Sam McPhee, Australian Associated","Stranded Australians furious as Victoria, Queensland premiers call for Covid flight cap cuts",Australians stranded around the world are furious over suggestions from the Victorian and Queensland Premiers that the country should slash the number of overseas arrivals.,https://www.dailymail.co.uk/news/article-9735893/Stranded-Australians-erupt-fury-Victoria-Queensland-premiers-call-covid-flight-cap-cuts.html,https://i.dailymail.co.uk/1s/2021/06/29/08/44806087-0-image-a-16_1624950467290.jpg,"Australians stranded around the world are furious over demands from state premiers to slash the number of overseas arrivals.
Victoria's Dan Andrews and Queensland's Annastacia Palaszczuk both put th… [+6859 chars]",0
2021-06-29 07:15:00+00:00,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,S.Korean stocks end lower on Delta virus woes; all eyes on U.S. jobs data - Reuters,S.Korean stocks end lower on Delta virus woes; all eyes on U.S. jobs data  Reuters,https://www.reuters.com/article/southkorea-markets-close-idUSAZN210300,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,"By Reuters Staff
* KOSPI falls, foreigners net sellers
* Korean won strengthens against U.S. dollar
* South Korea benchmark bond yield falls
* For the midday report, please click
SEOUL, June 29 … [+1908 chars]",0
2021-06-29 07:18:59+00:00,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",ABC News,Brisbane hospital worker confirmed as having Delta strain of COVID-19,The infected woman worked as a receptionist outside the COVID-19 ward at Brisbane's Prince Charles Hospital but was infectious in the community for 10 days.,https://www.abc.net.au/news/2021-06-29/queensland-coronavirus-genome-sequencing-results-delta-strain/100252640,https://live-production.wcms.abc-cdn.net.au/23c2ba6442386c93124dfb2abbc854bb?impolicy=wcms_crop_resize&cropH=2673&cropW=4752&xPos=0&yPos=0&width=862&height=485,"The 19-year-old woman who was infectious in the Queensland community for 10 days before testing positive to COVID-19 has been confirmed as having the highly contagious Delta variant.
The woman worke… [+2352 chars]",0
2021-06-29 07:22:50+00:00,"{'id': None, 'name': 'Daily Mail'}",Olivia Day,"Kmart, Woolworths, Big W exposed to Covid in major Sydney Westfield","A popular Kmart, Woolworths and Big W at a busy shopping centre have been added to Sydney's expanding list of exposure sites.",https://www.dailymail.co.uk/news/article-9736049/Kmart-Woolworths-Big-W-exposed-Covid-Sydney-Westfield.html,https://i.dailymail.co.uk/i/pix/m_logo_636x382px.png,"Kmart, Woolworths and a Big W store at a busy shopping centre have been added to Sydney's expanding list of Covid exposure sites.  
Stores at the Westfield Eastgardens shopping centre have been mark… [+6143 chars]",0
2021-06-29 07:36:22+00:00,"{'id': None, 'name': 'Daily Mail'}",Stephen Johnson,Australians score their lives as 7.2 out of 10 during Covid: Australian Bureau of Statistics,The Covid pandemic and lockdowns have made Australians in general less happy about their lives. But one group has actually seen their wellbeing levels actually increase despite the upheaval.,https://www.dailymail.co.uk/news/article-9735941/Australians-score-lives-7-2-10-Covid-Australian-Bureau-Statistics.html,https://i.dailymail.co.uk/1s/2021/06/29/07/44805783-0-image-a-24_1624949614009.jpg,"Australians are a lot more pessimistic about life because of Covid unless they are older baby boomers.
A wide-ranging Australian Bureau of Statistics survey asked people to give their life a score o… [+2792 chars]",0
2021-06-29 07:51:14+00:00,"{'id': 'the-irish-times', 'name': 'The Irish Times'}",Justin McCurry,Rise in daily Covid-19 cases in Tokyo less than a month from Olympics,Tokyo now subject to relaxed “quasi” emergency measures ahead of possible fifth wave,https://www.irishtimes.com/sport/other-sports/rise-in-daily-covid-19-cases-in-tokyo-less-than-a-month-from-olympics-1.4606611,https://www.irishtimes.com/image-creator/?id=1.4606610&origw=1440,"A rise in daily cases of the coronavirus in Tokyo has triggered fears of a possible fifth wave of infections, less than a month before the city is due to host the Olympics.
Tokyo reported 317 infect… [+3194 chars]",0
2021-06-29 07:52:00+00:00,"{'id': 'reuters', 'name': 'Reuters'}",Saikat Chatterjee,Dollar climbs towards three-month highs as virus cases rise - Reuters,The dollar rose towards three-month highs versus major counterparts on Tuesday as coronavirus outbreaks threatened to snuff out global economic recovery with the Australian dollar and the British pound leading losses.,https://www.reuters.com/world/middle-east/dollar-climbs-towards-three-month-highs-virus-cases-rise-2021-06-29/,,"LONDON, June 29 (Reuters) - The dollar rose towards three-month highs versus major counterparts on Tuesday as coronavirus outbreaks threatened to snuff out global economic recovery with the Australia… [+1696 chars]",0
