,Mouse_ID,Group,Day,Licks,Phase,Day_of_Phase
0,1,Control,BL1,665,BL,1
1,2,Control,BL1,859,BL,1
2,3,Control,BL1,589,BL,1
3,4,Control,BL1,939,BL,1
4,5,Experimental,BL1,710,BL,1
5,6,Experimental,BL1,564,BL,1
6,7,Experimental,BL1,722,BL,1
7,8,Experimental,BL1,497,BL,1
8,9,Experimental,BL1,741,BL,1
9,10,Experimental,BL1,953,BL,1
10,11,Experimental,BL1,753,BL,1
11,12,Control,BL1,494,BL,1
12,13,Control,BL1,587,BL,1
13,14,Control,BL1,917,BL,1
14,15,Control,BL1,440,BL,1
15,16,Experimental,BL1,715,BL,1
16,17,Experimental,BL1,184,BL,1
17,18,Experimental,BL1,934,BL,1
18,19,Experimental,BL1,578,BL,1
19,20,Experimental,BL1,400,BL,1
20,21,Experimental,BL1,448,BL,1
21,22,Control,BL1,270,BL,1
22,1,Control,BL2,863,BL,2
23,2,Control,BL2,849,BL,2
24,3,Control,BL2,507,BL,2
25,4,Control,BL2,909,BL,2
26,5,Experimental,BL2,505,BL,2
27,6,Experimental,BL2,808,BL,2
28,7,Experimental,BL2,732,BL,2
29,8,Experimental,BL2,649,BL,2
30,9,Experimental,BL2,668,BL,2
31,10,Experimental,BL2,988,BL,2
32,11,Experimental,BL2,613,BL,2
33,12,Control,BL2,602,BL,2
34,13,Control,BL2,630,BL,2
35,14,Control,BL2,680,BL,2
36,15,Control,BL2,767,BL,2
37,16,Experimental,BL2,469,BL,2
38,17,Experimental,BL2,250,BL,2
39,18,Experimental,BL2,1237,BL,2
40,19,Experimental,BL2,548,BL,2
41,20,Experimental,BL2,193,BL,2
42,21,Experimental,BL2,221,BL,2
43,22,Control,BL2,132,BL,2
44,1,Control,BL3,631,BL,3
45,2,Control,BL3,685,BL,3
46,3,Control,BL3,635,BL,3
47,4,Control,BL3,850,BL,3
48,5,Experimental,BL3,494,BL,3
49,6,Experimental,BL3,589,BL,3
50,7,Experimental,BL3,783,BL,3
51,8,Experimental,BL3,586,BL,3
52,9,Experimental,BL3,778,BL,3
53,10,Experimental,BL3,579,BL,3
54,11,Experimental,BL3,573,BL,3
55,12,Control,BL3,570,BL,3
56,13,Control,BL3,564,BL,3
57,14,Control,BL3,737,BL,3
58,15,Control,BL3,642,BL,3
59,16,Experimental,BL3,392,BL,3
60,17,Experimental,BL3,373,BL,3
61,18,Experimental,BL3,354,BL,3
62,19,Experimental,BL3,556,BL,3
63,20,Experimental,BL3,188,BL,3
64,21,Experimental,BL3,505,BL,3
65,22,Control,BL3,250,BL,3
66,1,Control,BL4,629,BL,4
67,2,Control,BL4,731,BL,4
68,3,Control,BL4,902,BL,4
69,4,Control,BL4,756,BL,4
70,5,Experimental,BL4,596,BL,4
71,6,Experimental,BL4,596,BL,4
72,7,Experimental,BL4,946,BL,4
73,8,Experimental,BL4,506,BL,4
74,9,Experimental,BL4,638,BL,4
75,10,Experimental,BL4,706,BL,4
76,11,Experimental,BL4,642,BL,4
77,12,Control,BL4,530,BL,4
78,13,Control,BL4,627,BL,4
79,14,Control,BL4,596,BL,4
80,15,Control,BL4,623,BL,4
81,16,Experimental,BL4,333,BL,4
82,17,Experimental,BL4,457,BL,4
83,18,Experimental,BL4,705,BL,4
84,19,Experimental,BL4,479,BL,4
85,20,Experimental,BL4,350,BL,4
86,21,Experimental,BL4,459,BL,4
87,22,Control,BL4,192,BL,4
88,1,Control,S1,583,S,1
89,2,Control,S1,854,S,1
90,3,Control,S1,699,S,1
91,4,Control,S1,807,S,1
92,5,Experimental,S1,620,S,1
93,6,Experimental,S1,591,S,1
94,7,Experimental,S1,882,S,1
95,8,Experimental,S1,546,S,1
96,9,Experimental,S1,759,S,1
97,10,Experimental,S1,1106,S,1
98,11,Experimental,S1,820,S,1
99,12,Control,S1,570,S,1
100,13,Control,S1,572,S,1
101,14,Control,S1,699,S,1
102,15,Control,S1,532,S,1
103,16,Experimental,S1,492,S,1
104,17,Experimental,S1,505,S,1
105,18,Experimental,S1,646,S,1
106,19,Experimental,S1,533,S,1
107,20,Experimental,S1,232,S,1
108,21,Experimental,S1,483,S,1
109,22,Control,S1,364,S,1
110,1,Control,S2,801,S,2
111,2,Control,S2,1103,S,2
112,3,Control,S2,743,S,2
113,4,Control,S2,617,S,2
114,5,Experimental,S2,589,S,2
115,6,Experimental,S2,580,S,2
116,7,Experimental,S2,723,S,2
117,8,Experimental,S2,493,S,2
118,9,Experimental,S2,791,S,2
119,10,Experimental,S2,812,S,2
120,11,Experimental,S2,752,S,2
121,12,Control,S2,396,S,2
122,13,Control,S2,419,S,2
123,14,Control,S2,484,S,2
124,15,Control,S2,663,S,2
125,16,Experimental,S2,594,S,2
126,17,Experimental,S2,475,S,2
127,18,Experimental,S2,619,S,2
128,19,Experimental,S2,721,S,2
129,20,Experimental,S2,34,S,2
130,21,Experimental,S2,491,S,2
131,22,Control,S2,229,S,2
132,1,Control,S3,723,S,3
133,2,Control,S3,645,S,3
134,3,Control,S3,761,S,3
135,4,Control,S3,526,S,3
136,5,Experimental,S3,676,S,3
137,6,Experimental,S3,419,S,3
138,7,Experimental,S3,764,S,3
139,8,Experimental,S3,456,S,3
140,9,Experimental,S3,568,S,3
141,10,Experimental,S3,902,S,3
142,11,Experimental,S3,759,S,3
143,12,Control,S3,403,S,3
144,13,Control,S3,369,S,3
145,14,Control,S3,452,S,3
146,15,Control,S3,601,S,3
147,16,Experimental,S3,695,S,3
148,17,Experimental,S3,519,S,3
149,18,Experimental,S3,885,S,3
150,19,Experimental,S3,651,S,3
151,20,Experimental,S3,65,S,3
152,21,Experimental,S3,394,S,3
153,22,Control,S3,219,S,3
154,1,Control,S4,707,S,4
155,2,Control,S4,633,S,4
156,3,Control,S4,949,S,4
157,4,Control,S4,736,S,4
158,5,Experimental,S4,537,S,4
159,6,Experimental,S4,463,S,4
160,7,Experimental,S4,892,S,4
161,8,Experimental,S4,601,S,4
162,9,Experimental,S4,664,S,4
163,10,Experimental,S4,835,S,4
164,11,Experimental,S4,564,S,4
165,12,Control,S4,380,S,4
166,13,Control,S4,416,S,4
167,14,Control,S4,438,S,4
168,15,Control,S4,553,S,4
169,16,Experimental,S4,568,S,4
170,17,Experimental,S4,578,S,4
171,18,Experimental,S4,626,S,4
172,19,Experimental,S4,546,S,4
173,20,Experimental,S4,158,S,4
